label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
0,36.0820711,140.0810634,3.998393388524266,0.228972208959051,-0.2405755798179727,0,0,0.0766734303508453,0.995551161734079,0,0,0,0,1,-1,421.7264668804602,-103.86108490971212,3.968925234744724,-0.5359201833078187,430.5014324880376,430.3457368995425
1,36.0820919,140.08107189999998,6.394272806019624,-0.2139774202527297,-0.3293849606381616,0,0,-0.450492279428127,0.8926458734862656,0,0,0,0,1,-1,422.49116491135584,-101.54563950104658,6.236770770516648,-1.4266048542638776,428.25778377021476,428.1256144406227
2,36.0820939,140.081118,7.4086895798665,-4.159648006888771,-0.4036746419921323,0,0,-0.7405679704453272,0.670868576695869,0,0,0,0,1,-1,426.63852718531024,-101.32300052002212,6.48197965670087,-5.493204216316033,430.3421589970917,430.946486574343
3,36.0820861,140.08116099999998,7.266671686346958,-8.196653777134754,-0.3417993721213989,0,0,-0.6117327802137369,0.7905422181728049,0,0,0,0,1,-1,430.5069995845709,-102.191292548074,5.574499380677651,-9.429454236285281,433.55203525883195,434.93952266552435
4,36.0820855,140.0812067,8.03571349249178,-12.22861249639694,-0.3671092956691126,0,0,-0.6236170356997374,0.7813997206146029,0,0,0,0,1,-1,434.6183760683246,-102.25808424253952,5.56239843627276,-13.534082109866194,435.97944193869546,438.1335190284286
5,36.0820821,140.0812517,8.447906948014747,-16.231523080518233,-0.3629649765157464,0,0,-0.6854732779857177,0.7273125113087359,0,0,0,0,1,-1,438.6667774185882,-102.63657051091384,5.205493532178464,-17.54230060175005,438.8098776582234,441.7348971949446
6,36.0820794,140.0812958,8.971771487601298,-20.2156584046454,-0.3953134160969782,0,0,-0.7024247528689349,0.7109863022919236,0,0,0,0,1,-1,442.6342107415396,-102.93713313640416,4.961792097138267,-21.553332631957918,441.4815438967667,445.17465002691654
7,36.0820719,140.0813399,8.88609495083137,-24.301582682788418,-0.3584209167109143,0,0,-0.7457878138301819,0.6655355423170891,0,0,0,0,1,-1,446.601644064491,-103.77202931761876,4.1003171577192665,-25.548326825248374,444.8712778143943,449.3621834844011
8,36.0820734,140.0813862,9.90415903052715,-28.275433283613296,-0.371892866413433,0,0,-0.6115810443199001,0.7903402935356685,0,0,0,0,1,-1,450.7669992322673,-103.60505008105945,4.343745371955757,-29.643285405326647,447.252272255374,452.5086344161586
9,36.0820712,140.0814326,10.434679209691287,-32.330159288169924,-0.3629377658501035,0,0,-0.672999727815007,0.7388181542018744,0,0,0,0,1,-1,454.9413508469544,-103.84995296050272,4.093147853814569,-33.72488503248627,450.22356892656194,456.2692486833321
10,36.0820682,140.0814753,11.035288189520896,-36.30480743929379,-0.3871886771070447,0,0,-0.577053400677952,0.816094053148156,0,0,0,0,1,-1,458.7828339054822,-104.1839114336213,3.9265940870085534,-37.741204107789805,452.8635969624183,459.6834043758671
11,36.0820665,140.08152049999998,11.67111534500324,-40.29385778875234,-0.4153894767330586,0,0,-0.6216610427864379,0.7826796472568219,0,0,0,0,1,-1,462.8492281495677,-104.37315456780846,3.791875157295888,-41.77836272148598,455.70587636060463,463.30525714970656
12,36.0820634,140.08156499999998,12.157686700175656,-44.41004228141998,-0.4082114623811717,0,0,-0.7297550503658968,0.6831147667700983,0,0,0,0,1,-1,466.85264726271976,-104.71824498934552,3.486438823475284,-45.91193685379983,458.6769957986053,467.0828887894461
13,36.0820576,140.0816104,12.334163983375817,-48.52538277163063,-0.4048107703028491,0,0,-0.8463149264458246,0.5313085569252333,0,0,0,0,1,-1,470.9370344031839,-105.36389803558194,2.8767328893419797,-49.98568577288352,462.11168517437176,471.32493276575246
14,36.0820552,140.0816544,12.849433727512173,-52.50204136703608,-0.415435665729602,0,0,-0.6447688612145176,0.7637491608665747,0,0,0,0,1,-1,474.8954712792244,-105.63106481344404,2.6260161208644637,-53.98774244360153,465.0905653199248,475.0846987864055
15,36.082055,140.0816994,13.75088592173389,-56.4456905514717,-0.4841114838412935,0,0,-0.7157670104759077,0.6977605071516982,0,0,0,0,1,-1,478.9438726294879,-105.65332871186288,2.760708315679396,-58.030865365431,467.7883138080777,478.5585700738143
16,36.0820493,140.0817438,13.917258508824224,-60.53331267508691,-0.4841334655295736,0,0,-0.7289626312007473,0.684059377675168,0,0,0,0,1,-1,482.938295295729,-106.28784980888987,2.1463557777771936,-62.075479737948704,471.2475046268061,482.8204871095713
17,36.0820516,140.08178999999998,14.734915632160355,-64.55413980115578,-0.5596914985032163,0,0,-0.7257707571011304,0.6872081603429557,0,0,0,0,1,-1,487.0946540140375,-106.0318149802372,2.1841000170440044,-66.17842859474375,474.1773085908443,486.5455146068686
18,36.0820496,140.0818335,15.186506632154444,-68.57531810515486,-0.6000220921975609,0,0,-0.6393971940707065,0.7683691498963156,0,0,0,0,1,-1,491.0081086529664,-106.2544539620526,1.862397551505849,-70.21207668394231,477.3111293784952,490.4717929186256
19,36.0820525,140.081878,15.965039085559985,-72.50048742314313,-0.6804331720931044,0,0,-0.6470895910798683,0.7621091907495358,0,0,0,0,1,-1,495.0115277661185,-105.9316274389344,1.87993101377079,-74.21367130778705,480.21159861037086,494.15058479845743
20,36.0820517,140.0819259,16.30322658315624,-76.52526084082639,-0.729898122718352,0,0,-0.6788495969989653,0.7337522849140594,0,0,0,0,1,-1,499.3208260921402,-106.0206830310278,1.4462123866419858,-78.2292733796689,483.9173290610695,498.6496700317856
