label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
S1,36.081986,140.081076,393.443929681391,-177.62355810516513,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_1,36.081981965517244,140.08113279310345,398.5475985863674,-178.07217211935236,0.0,0.0,0.0,-0.035452127130331704,0.9993713757567478,10.0,10.0,0,0,0
S1-S2_2,36.08197793103448,140.0811895862069,403.65126775323824,-178.52078613432968,0.0,0.0,0.0,-0.03545212708580449,0.9993713757583274,10.0,10.0,0,0,0
S1-S2_3,36.08197389655172,140.08124637931033,408.7549371794492,-178.9694001485169,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_4,36.081969862068966,140.08130317241378,413.85860687010853,-179.41801416270417,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_5,36.08196582758621,140.08135996551724,418.962276822662,-179.8666281768914,0.0,0.0,0.0,-0.035452127130331704,0.9993713757567478,5.0,5.0,0,0,0
S1-S2_6,36.081961793103446,140.0814167586207,424.06594703710977,-180.3152421918687,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,1,0
S1-S2_7,36.08195775862069,140.08147355172414,429.16961751345167,-180.76385620605592,0.0,0.0,0.0,-0.03545212708580449,0.9993713757583274,5.0,5.0,0,0,0
S1-S2_8,36.08195372413793,140.08153034482757,434.27328824913366,-181.21247022024315,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_9,36.081949689655175,140.08158713793102,439.3769592492639,-181.66108423443038,0.0,0.0,0.0,-0.035452127130331704,0.9993713757567478,5.0,5.0,0,0,0
S1-S2_10,36.08194565517241,140.08164393103448,444.4806305112883,-182.10969824940773,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_11,36.081941620689655,140.08170072413793,449.58430203520675,-182.55831226359496,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_12,36.0819375862069,140.08175751724139,454.6879738210193,-183.00692627778218,0.0,0.0,0.0,-0.035452127148006635,0.9993713757561208,5.0,5.0,1,0,0
S1-S2_13,36.081933551724134,140.0818143103448,459.7916458661718,-183.4555402927595,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_14,36.08192951724138,140.08187110344826,464.8953181757726,-183.90415430694674,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_15,36.08192548275862,140.08192789655172,469.9989907472673,-184.35276832113396,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_16,36.081921448275864,140.08198468965517,475.102663580656,-184.8013823353212,0.0,0.0,0.0,-0.035452127148006635,0.9993713757561208,5.0,5.0,0,0,0
S1-S2_17,36.0819174137931,140.0820414827586,480.2063366733847,-185.24999635029852,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_18,36.08191337931034,140.08209827586205,485.3100100305614,-185.69861036448575,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_19,36.08190934482759,140.0821550689655,490.41368364963205,-186.147224378673,0.0,0.0,0.0,-0.035452127130331704,0.9993713757567478,5.0,5.0,0,0,0
S1-S2_20,36.08190531034482,140.08221186206896,495.51735753059666,-186.5958383936503,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_21,36.081901275862066,140.0822686551724,500.6210316734553,-187.04445240783753,0.0,0.0,0.0,-0.03545212708580449,0.9993713757583274,5.0,5.0,0,0,0
S1-S2_22,36.08189724137931,140.08232544827584,505.72470607565356,-187.49306642202475,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_23,36.08189320689655,140.0823822413793,510.82838074229994,-187.941680436212,0.0,0.0,0.0,-0.035452127130331704,0.9993713757567478,5.0,5.0,0,0,0
S1-S2_24,36.08188917241379,140.08243903448275,515.9320556708401,-188.39029445118933,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_25,36.08188513793103,140.0824958275862,521.0357308612741,-188.83890846537656,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S1-S2_26,36.081881103448275,140.08255262068965,526.139406313602,-189.2875224795638,0.0,0.0,0.0,-0.03545212708580449,0.9993713757583274,5.0,5.0,0,0,0
S1-S2_27,36.08187706896552,140.08260941379308,531.2430820252696,-189.73613649375102,0.0,0.0,0.0,-0.035452127130331704,0.9993713757567478,5.0,5.0,0,0,0
S1-S2_28,36.081873034482754,140.08266620689653,536.346758001385,-190.18475050872834,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
S2,36.081869,140.082723,541.4504342393942,-190.63336452291557,0.0,0.0,0.0,-0.03545212706812956,0.9993713757589544,5.0,5.0,0,0,0
