source,target,waypoint_list,reversible,weight_factor
C0,C1,variable/segments/edge_C0_C1.csv,1,1
C1,C2,variable/segments/edge_C1_C2.csv,1,1
C1,C7,variable/segments/edge_C1_C7.csv,1,1
C2,C3,variable/segments/edge_C2_C3.csv,1,1
C3,C1,variable/segments/edge_C3_C1.csv,1,1
C3,C5,variable/segments/edge_C3_C5.csv,1,1
C4,C3,variable/segments/edge_C4_C3.csv,1,1
C5,C4,variable/segments/edge_C5_C4.csv,1,1
C5,C7,variable/segments/edge_C5_C7.csv,1,1
C6,C5,variable/segments/edge_C6_C5.csv,1,1
C7,C0,variable/segments/edge_C7_C0.csv,1,1
C7,C6,variable/segments/edge_C7_C6.csv,1,1
