label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
2000,36.0819119,140.0797884,307.021761954622,-121.583147843868,-0.035538695658694,0,0,-0.071909341466632,0.997374017536122,2,2,0,0,1,-1,307.021761954622,-121.583147843868
2001,36.0818817,140.0798111,309.063955526132,-124.944996466354,-0.068092654407011,0,0,-0.195092492901982,0.980764896660614,2,2,0,0,1,-1,309.063955526132,-124.944996466354
2002,36.0818462,140.079815,309.414816976113,-128.89683838903,-0.123480482043146,0,0,-0.28278923961583,0.959136828057233,2,2,0,0,1,-1,309.414816976113,-128.89683838903
2003,36.0818102,140.0798177,309.65772105805,-132.904340057752,-0.180754480566492,0,0,-0.351478644413976,0.936180858613848,2,2,0,0,1,-1,309.65772105805,-132.904340057752
2004,36.0817747,140.0798101,308.973991051909,-136.856181981219,-0.253826434234011,0,0,-0.301354541998755,0.953510898075716,2,2,0,0,1,-1,308.973991051909,-136.856181981219
2005,36.0817389,140.0798055,308.560154468438,-140.841419751522,-0.329963594564477,0,0,-0.4550993606253,0.890427911508029,2,2,0,0,1,-1,308.560154468438,-140.841419751522
2006,36.0817031,140.0798032,308.353236176702,-144.826657521826,-0.362447526622249,0,0,-0.437956212202726,0.898892913263782,2,2,0,0,1,-1,308.353236176702,-144.826657521826
2007,36.0816658,140.0797976,307.849435121565,-148.978874528689,-0.384485933434263,0,0,-0.36741660366501,0.929962876764156,2,2,0,0,1,-1,307.849435121565,-148.978874528689
2008,36.0816302,140.0798002,308.083342754033,-152.941848400574,-0.407275652863144,0,0,-0.241398117369051,0.970375625121243,2,2,0,0,1,-1,308.083342754033,-152.941848400574
2009,36.0815926,140.0797972,307.813449331364,-157.127461254274,-0.426859208639955,0,0,-0.374387997363931,0.927224215250234,2,2,0,0,1,-1,307.813449331364,-157.127461254274
2010,36.0815557,140.0797992,307.99337827981,-161.23515046509,-0.412664676340515,0,0,-0.439207884258585,0.89820226614826,2,2,0,0,1,-1,307.99337827981,-161.23515046509
2011,36.0815202,140.0797972,307.813449331364,-165.186992387766,-0.451774409987739,0,0,-0.359545602416519,0.933089098992231,2,2,0,0,1,-1,307.813449331364,-165.186992387766
2012,36.0814853,140.0797984,307.921406699409,-169.072042616767,-0.462913987537213,0,0,-0.454885512468888,0.890392184718894,2,2,0,0,1,-1,307.921406699409,-169.072042616767
2013,36.0814505,140.0797921,307.354630510781,-172.945960896558,-0.497381129167155,0,0,-0.41909474338894,0.907862694069693,2,2,0,0,1,-1,307.354630510781,-172.945960896558
2014,36.081415,140.0797838,306.607925373707,-176.897802819234,-0.532785566552221,0,0,-0.4151672018719,0.909679351587883,2,2,0,0,1,-1,306.607925373707,-176.897802819234
2015,36.0813779,140.0797807,306.32903550157,-181.027755927678,-0.545966141423411,0,0,-0.349333785796101,0.936931017685665,2,2,0,0,1,-1,306.32903550157,-181.027755927678
2016,36.0813396,140.0797808,306.338031948481,-185.291292425053,-0.575524633553191,0,0,-0.308706757969615,0.951077938615529,2,2,0,0,1,-1,306.338031948481,-185.291292425053
2017,36.0813029,140.0797789,306.167099446946,-189.376717737451,-0.614519994825114,0,0,-0.374156710644686,0.927231548192364,2,2,0,0,1,-1,306.167099446946,-189.376717737451
2018,36.0812682,140.0797746,305.780252209321,-193.239504068033,-0.642436536105833,0,0,-0.396868189474005,0.917772300220739,2,2,0,0,1,-1,305.780252209321,-193.239504068033
2019,36.0812316,140.0797696,305.330429835649,-197.313797431221,-0.67393520743957,0,0,-0.392453745694873,0.91965390158461,2,2,0,0,1,-1,305.330429835649,-197.313797431221
2020,36.0811972,140.0797636,304.790642990311,-201.143187914174,-0.704344297225279,0,0,-0.373406086527352,0.927585711840407,2,2,0,0,1,-1,304.790642990311,-201.143187914174
2021,36.0811608,140.0797617,304.619710488776,-205.195217378944,-0.737282368372355,0,0,-0.373677132991696,0.927467731299096,2,2,0,0,1,-1,304.619710488776,-205.195217378944
2022,36.0811262,140.079758,304.286841932617,-209.046871760316,-0.749868653121651,0,0,-0.390349493385078,0.920494911593792,2,2,0,0,1,-1,304.286841932617,-209.046871760316
2023,36.0810914,140.0797549,304.00795206048,-212.920790040108,-0.758819141342363,0,0,-0.375208279737577,0.926834767668437,2,2,0,0,1,-1,304.00795206048,-212.920790040108
2024,36.0810554,140.0797507,303.630101269766,-216.92829170883,-0.768464690903433,0,0,-0.362952160892042,0.931673316423672,2,2,0,0,1,-1,303.630101269766,-216.92829170883
2025,36.0810208,140.0797416,302.811424552291,-220.779946090203,-0.767636424929702,0,0,-0.358175433017196,0.933516909600025,2,2,0,0,1,-1,302.811424552291,-220.779946090203
2026,36.080987,140.0797414,302.793431655912,-224.542544878691,-0.75356858693162,0,0,-0.362915848531523,0.931722900450197,2,2,0,0,1,-1,302.793431655912,-224.542544878691
2027,36.0809506,140.0797397,302.640492050756,-228.59457434346,-0.759258421208479,0,0,-0.355188938278684,0.934713343058802,2,2,0,0,1,-1,302.640492050756,-228.59457434346
2028,36.0809138,140.0797408,302.73945297189,-232.691131605067,-0.766310519704058,0,0,-0.315801405788029,0.948657085777425,2,2,0,0,1,-1,302.73945297189,-232.691131605067
2029,36.0808784,140.0797474,303.333218503807,-236.631841579324,-0.74712937526921,0,0,-0.305135074718863,0.95213164884402,2,2,0,0,1,-1,303.333218503807,-236.631841579324
2030,36.080846,140.0797534,303.873005349145,-240.238593080463,-0.730430479385543,0,0,-0.247178052508135,0.968755945080822,2,2,0,0,1,-1,303.873005349145,-240.238593080463
2031,36.0808103,140.079761,304.556735355286,-244.212698902348,-0.715992385799803,0,0,-0.263303126522014,0.964476050463296,2,2,0,0,1,-1,304.556735355286,-244.212698902348
2032,36.0807748,140.0797695,305.321433388738,-248.164540825023,-0.715143494833593,0,0,-0.275685797881237,0.961083862243534,2,2,0,0,1,-1,305.321433388738,-248.164540825023
2033,36.0807409,140.0797806,306.320039054659,-251.938271563512,-0.689880970897888,0,0,-0.163442191582611,0.986351625997297,2,2,0,0,1,-1,306.320039054659,-251.938271563512
2034,36.0807094,140.0797993,308.002374726721,-255.444835523348,-0.639736787627908,0,0,-0.254666684637182,0.966847741905913,2,2,0,0,1,-1,308.002374726721,-255.444835523348
2035,36.0806773,140.079817,309.594745924559,-259.018191177649,-0.617450416013344,0,0,-0.128296120983951,0.991555232180662,2,2,0,0,1,-1,309.594745924559,-259.018191177649
2036,36.080645,140.0798349,311.20511001622,-262.613810730369,-0.563527439260269,0,0,-0.120490383681297,0.992511947935297,2,2,0,0,1,-1,311.20511001622,-262.613810730369
2037,36.0806125,140.0798533,312.860456347549,-266.231694180717,-0.52167964208902,0,0,-0.050879149300363,0.99849345463552,2,2,0,0,1,-1,312.860456347549,-266.231694180717
2038,36.0805844,140.079875,314.812685442279,-269.359771872178,-0.485904323932337,0,0,-0.063849336122507,0.99775432383483,2,2,0,0,1,-1,314.812685442279,-269.359771872178
2039,36.0805618,140.0799082,317.799505995688,-271.87559236424,-0.420199090965571,0,0,0.249087744125076,0.968228592502775,2,2,0,0,1,-1,317.799505995688,-271.87559236424
2040,36.0805624,140.0799508,321.631992607305,-271.808800669774,-0.445448006978555,0,0,0.49808167512052,0.867062095435583,2,2,0,0,1,-1,321.631992607305,-271.808800669774
