label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
0,36.0820711,140.0810634,3.998393388524266,0.228972208959051,-0.24057557981797273,0,0,0.07667343035084534,0.995551161734079,0,0,0,0,1,-1,421.7264668804602,-103.86108490971212
1,36.0820919,140.08107189999998,6.3942728060196234,-0.21397742025272976,-0.32938496063816164,0,0,-0.450492279428127,0.8926458734862656,0,0,0,0,1,-1,422.49116491135584,-101.54563950104658
2,36.0820939,140.081118,7.4086895798665,-4.159648006888771,-0.4036746419921323,0,0,-0.7405679704453272,0.670868576695869,0,0,0,0,1,-1,426.63852718531024,-101.32300052002213
3,36.0820861,140.08116099999998,7.266671686346958,-8.196653777134754,-0.34179937212139894,0,0,-0.6117327802137369,0.7905422181728049,0,0,0,0,1,-1,430.50699958457085,-102.19129254807399
4,36.0820855,140.0812067,8.03571349249178,-12.22861249639694,-0.3671092956691126,0,0,-0.6236170356997374,0.7813997206146029,0,0,0,0,1,-1,434.6183760683246,-102.25808424253951
5,36.0820821,140.0812517,8.447906948014747,-16.231523080518233,-0.3629649765157464,0,0,-0.6854732779857177,0.7273125113087359,0,0,0,0,1,-1,438.6667774185882,-102.63657051091383
6,36.0820794,140.0812958,8.971771487601298,-20.2156584046454,-0.3953134160969782,0,0,-0.7024247528689349,0.7109863022919236,0,0,0,0,1,-1,442.6342107415396,-102.93713313640417
7,36.082071899999995,140.0813399,8.88609495083137,-24.301582682788418,-0.35842091671091436,0,0,-0.7457878138301819,0.6655355423170891,0,0,0,0,1,-1,446.601644064491,-103.77202931761875
8,36.0820734,140.0813862,9.90415903052715,-28.275433283613296,-0.37189286641343305,0,0,-0.6115810443199001,0.7903402935356685,0,0,0,0,1,-1,450.7669992322673,-103.60505008105943
9,36.0820712,140.0814326,10.434679209691287,-32.330159288169924,-0.36293776585010357,0,0,-0.672999727815007,0.7388181542018744,0,0,0,0,1,-1,454.94135084695444,-103.84995296050272
10,36.082068199999995,140.0814753,11.035288189520895,-36.30480743929379,-0.38718867710704474,0,0,-0.577053400677952,0.816094053148156,0,0,0,0,1,-1,458.7828339054822,-104.1839114336213
11,36.082066499999996,140.08152049999998,11.67111534500324,-40.29385778875234,-0.41538947673305865,0,0,-0.6216610427864379,0.7826796472568219,0,0,0,0,1,-1,462.8492281495677,-104.37315456780846
12,36.082063399999996,140.08156499999998,12.157686700175656,-44.41004228141998,-0.4082114623811717,0,0,-0.7297550503658968,0.6831147667700983,0,0,0,0,1,-1,466.85264726271976,-104.71824498934552
13,36.0820576,140.0816104,12.334163983375817,-48.52538277163063,-0.4048107703028491,0,0,-0.8463149264458246,0.5313085569252333,0,0,0,0,1,-1,470.9370344031839,-105.36389803558194
14,36.0820552,140.0816544,12.849433727512173,-52.50204136703608,-0.41543566572960205,0,0,-0.6447688612145176,0.7637491608665747,0,0,0,0,1,-1,474.8954712792244,-105.63106481344404
15,36.082055,140.0816994,13.75088592173389,-56.4456905514717,-0.4841114838412935,0,0,-0.7157670104759077,0.6977605071516982,0,0,0,0,1,-1,478.9438726294879,-105.65332871186288
16,36.0820493,140.0817438,13.917258508824224,-60.53331267508691,-0.4841334655295736,0,0,-0.7289626312007473,0.684059377675168,0,0,0,0,1,-1,482.938295295729,-106.28784980888989
17,36.0820516,140.08178999999998,14.734915632160355,-64.55413980115578,-0.5596914985032163,0,0,-0.7257707571011304,0.6872081603429557,0,0,0,0,1,-1,487.0946540140375,-106.03181498023719
18,36.0820496,140.0818335,15.186506632154444,-68.57531810515486,-0.6000220921975609,0,0,-0.6393971940707065,0.7683691498963156,0,0,0,0,1,-1,491.0081086529664,-106.25445396205261
19,36.082052499999996,140.081878,15.965039085559983,-72.50048742314313,-0.6804331720931044,0,0,-0.6470895910798683,0.7621091907495358,0,0,0,0,1,-1,495.0115277661185,-105.93162743893441
20,36.0820517,140.0819259,16.30322658315624,-76.52526084082639,-0.729898122718352,0,0,-0.6788495969989653,0.7337522849140594,0,0,0,0,1,-1,499.3208260921402,-106.02068303102779
21,36.0820558,140.0819749,17.12770878091895,-80.60891832357191,-0.8076030798198415,0,0,-0.7246151518051757,0.688574110830327,0,0,0,0,1,-1,503.72908534185274,-105.56427311897852
22,36.0820532,140.08202169999998,17.29664060044335,-84.66999214691907,-0.8838627606806808,0,0,-0.704689576045106,0.7093659686694116,0,0,0,0,1,-1,507.9394227441836,-105.85370379525945
23,36.0820551,140.0820694,17.91943416900564,-88.81555503844913,-0.9460937810991153,0,0,-0.6892213010015973,0.7240509940665495,0,0,0,0,1,-1,512.2307281763834,-105.64219676265346
24,36.0820548,140.0821173,18.19139686217288,-92.89551003799687,-1.0324320409614856,0,0,-0.7556979476283274,0.6542081603943757,0,0,0,0,1,-1,516.5400265024051,-105.67559260949075
25,36.082050599999995,140.08216389999998,18.231597891043908,-96.9237822899044,-1.1030993779357743,0,0,-0.5413297163701655,0.8405765441408205,0,0,0,0,1,-1,520.7323710109141,-106.1431344715404
26,36.082051799999995,140.0822109,18.771822542428527,-100.93510203750377,-1.1767792106151826,0,0,-0.66837753808443,0.7433725402019523,0,0,0,0,1,-1,524.9607013121805,-106.00955108260933
27,36.082052499999996,140.0822559,19.225210730797336,-104.94000704416909,-1.2826575688337585,0,0,-0.6763353181504445,0.7355466329535522,0,0,0,0,1,-1,529.0091026624442,-105.93162743893441
28,36.0820534,140.0823038,19.727867511692416,-108.97184047744364,-1.3641226862972002,0,0,-0.5952243948347594,0.8033296195124623,0,0,0,0,1,-1,533.3184009884658,-105.83143989684064
29,36.082056,140.08235159999998,20.636432329664647,-112.98525729274331,-1.5012880741559251,0,0,-0.645408827312031,0.7633139198770789,0,0,0,0,1,-1,537.6187028650196,-105.54200922055968
30,36.0820536,140.0823976,20.898919305382762,-117.00969556157759,-1.6037572782199314,0,0,-0.6677752280175225,0.7439963671709429,0,0,0,0,1,-1,541.7570686920631,-105.80917599842178
31,36.0820554,140.0824453,21.489020406807303,-120.9924722241015,-1.696378397515354,0,0,-0.7342913084192081,0.6780201670227298,0,0,0,0,1,-1,546.048374121706,-105.60880091502523
32,36.0820574,140.08249039999998,22.067079080503756,-125.00363028735663,-1.8047223192061939,0,0,-0.6888095327371875,0.72433694786514,0,0,0,0,1,-1,550.1057719188805,-105.38616193400078
33,36.0820536,140.082538,22.13396901573022,-129.07866114444622,-1.8949255135428227,0,0,-0.7167071878449555,0.6969487468119981,0,0,0,0,1,-1,554.3880809041694,-105.80917599842178
34,36.0820535,140.08258379999998,22.715967741713204,-133.09844213031442,-1.993084030951357,0,0,-0.5590048802549504,0.8289301515011088,0,0,0,0,1,-1,558.5084538322773,-105.82030794763122
35,36.082057,140.0826318,23.519736053041065,-137.1732443109334,-2.1425869392788988,0,0,-0.6652572161116769,0.7460496370771478,0,0,0,0,1,-1,562.8267486077668,-105.43068973004748
36,36.0820601,140.0826797,24.442012445749313,-141.30764842335248,-2.29069066387943,0,0,-0.6723474673622492,0.739781437585655,0,0,0,0,1,-1,567.1360469337885,-105.08559930851042
