source,target,waypoint_list,reversible,weight_factor
C1,C2,variable/segments/edge_C1_C2.csv,1,1
C1,C4,variable/segments/edge_C1_C4.csv,0,1
C10,C18,variable/segments/edge_C10_C18.csv,1,1
C10,C9,variable/segments/edge_C10_C9.csv,1,1
C100,C1,variable/segments/edge_C100_C1.csv,1,1
C100,C4,variable/segments/edge_C100_C4.csv,1,1
C101,C5,variable/segments/edge_C101_C5.csv,1,1
C102,C7,variable/segments/edge_C102_C7.csv,1,1
C11,C102,variable/segments/edge_C11_C102.csv,1,1
C11,C12,variable/segments/edge_C11_C12.csv,0,1
C12,C11,variable/segments/edge_C12_C11.csv,0,1
C12,C13,variable/segments/edge_C12_C13.csv,1,1
C13,C14,variable/segments/edge_C13_C14.csv,1,1
C13,C8,variable/segments/edge_C13_C8.csv,0,1
C14,C21,variable/segments/edge_C14_C21.csv,1,1
C15,C21,variable/segments/edge_C15_C21.csv,1,1
C16,C10,variable/segments/edge_C16_C10.csv,1,1
C17,C16,variable/segments/edge_C17_C16.csv,1,1
C18,C17,variable/segments/edge_C18_C17.csv,1,1
C18,C19,variable/segments/edge_C18_C19.csv,0,1
C19,C18,variable/segments/edge_C19_C18.csv,0,1
C2,C3,variable/segments/edge_C2_C3.csv,1,1
C2,C5,variable/segments/edge_C2_C5.csv,0,1
C20,C12,variable/segments/edge_C20_C12.csv,1,1
C21,C20,variable/segments/edge_C21_C20.csv,1,1
C3,C6,variable/segments/edge_C3_C6.csv,1,1
C4,C1,variable/segments/edge_C4_C1.csv,0,1
C4,C102,variable/segments/edge_C4_C102.csv,1,1
C4,C7,variable/segments/edge_C4_C7.csv,1,1
C5,C2,variable/segments/edge_C5_C2.csv,0,1
C5,C4,variable/segments/edge_C5_C4.csv,1,1
C5,C6,variable/segments/edge_C5_C6.csv,0,1
C6,C10,variable/segments/edge_C6_C10.csv,1,1
C6,C5,variable/segments/edge_C6_C5.csv,0,1
C7,C100,variable/segments/edge_C7_C100.csv,1,1
C7,C8,variable/segments/edge_C7_C8.csv,1,1
C8,C13,variable/segments/edge_C8_C13.csv,0,1
C8,C9,variable/segments/edge_C8_C9.csv,1,1
C9,C101,variable/segments/edge_C9_C101.csv,1,1
C9,C15,variable/segments/edge_C9_C15.csv,1,1
