id,lat,lon
C1,36.081552,140.079613
C2,36.080563,140.079554
C3,36.079809,140.079516
C4,36.081517,140.079849
C5,36.080524,140.079962
C6,36.080013,140.080064
C7,36.081578,140.080348
C8,36.081235,140.080326
C9,36.080706,140.080713
C10,36.079991,140.080895
C11,36.081561,140.081029
C12,36.081318,140.080997
C13,36.081201,140.080949
C14,36.080993,140.081147
C15,36.080902,140.081212
C16,36.080030,140.081131
C17,36.079835,140.081335
C18,36.079770,140.081287
C19,36.079636,140.081378
C20,36.081253,140.081662
C21,36.081032,140.081394
C100,36.081946,140.079774
C101,36.080607,140.080375
C102,36.081955,140.081072
