label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C1,36.081552,140.079613,-77.8232301215953,-59.15570097487799,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_1,36.08156692592593,140.07966703703704,-72.9671761181379,-57.49601373659463,0.0,0.0,0.0,0.13434105036520208,0.9909351553894807,0,0,0,0,0
C1-C102_2,36.08158185185185,140.07972107407406,-68.11112303909604,-55.83632649831125,0.0,0.0,0.0,0.13434105035885435,0.9909351553903413,0,0,0,0,0
C1-C102_3,36.08159677777778,140.0797751111111,-63.255070879361746,-54.176639259237795,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_4,36.08161170370371,140.07982914814815,-58.39901964148935,-52.516952020954434,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_5,36.08162662962963,140.0798831851852,-53.54296932547913,-50.85726478267106,0.0,0.0,0.0,0.13434105036520208,0.9909351553894807,0,0,0,0,0
C1-C102_6,36.08164155555556,140.0799372222222,-48.68691993388542,-49.1975775443877,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_7,36.08165648148148,140.07999125925926,-43.83087146160026,-47.53789030610433,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_8,36.081671407407406,140.0800452962963,-38.97482391117799,-45.878203067820955,0.0,0.0,0.0,0.13434105042573372,0.9909351553812744,0,0,0,0,0
C1-C102_9,36.08168633333334,140.08009933333332,-34.118777285172996,-44.218515828747506,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_10,36.08170125925926,140.08015337037037,-29.262731578477275,-42.55882859046414,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_11,36.081716185185186,140.0802074074074,-24.40668679364521,-40.89914135218077,0.0,0.0,0.0,0.13434105036520208,0.9909351553894807,0,0,0,0,0
C1-C102_12,36.08173111111111,140.08026144444443,-19.550642933231142,-39.2394541138974,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_13,36.081746037037036,140.08031548148148,-14.694599992127104,-37.57976687561403,0.0,0.0,0.0,0.13434105035885435,0.9909351553903413,0,0,0,0,0
C1-C102_14,36.08176096296297,140.08036951851852,-9.838557972887449,-35.92007963654058,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_15,36.08177588888889,140.08042355555557,-4.9825168755124265,-34.26039239825721,0.0,0.0,0.0,0.13434105036520208,0.9909351553894807,0,0,0,0,0
C1-C102_16,36.081790814814816,140.0804775925926,-0.1264767025564024,-32.60070515997384,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_17,36.08180574074074,140.08053162962963,4.729562551088612,-30.941017921690474,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_18,36.081820666666665,140.08058566666668,9.58560088286825,-29.281330683407102,0.0,0.0,0.0,0.13434105042573372,0.9909351553812744,0,0,0,0,0
C1-C102_19,36.0818355925926,140.0806397037037,14.441638290228154,-27.62164344433365,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_20,36.08185051851852,140.08069374074074,19.297674778276303,-25.96195620605028,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_21,36.081865444444446,140.0807477777778,24.153710344458332,-24.30226896776691,0.0,0.0,0.0,0.13434105036520208,0.9909351553894807,0,0,0,0,0
C1-C102_22,36.08188037037037,140.0808018148148,29.009744986219893,-22.642581729483542,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_23,36.081895296296295,140.08085585185185,33.86577870866895,-20.982894491200174,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C1-C102_24,36.08191022222222,140.0809098888889,38.72181150925115,-19.323207252916806,0.0,0.0,0.0,0.13434105035885435,0.9909351553903413,0,0,0,0,0
C1-C102_25,36.08192514814815,140.08096392592594,43.57784338796625,-17.66352001384335,0.0,0.0,0.0,0.13434105036520208,0.9909351553894807,0,0,0,0,0
C1-C102_26,36.081940074074076,140.08101796296296,48.43387434225988,-16.00383277555998,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
C102,36.081955,140.081072,53.28990437724002,-14.344145537276615,0.0,0.0,0.0,0.13434105029832275,0.9909351553985475,0,0,0,0,0
